,title,Achievement_rate,amount,people
4397,智能无水高频洁牙器，专为家用设计,1215%,1215696.0,9424
4398,草莓音乐节联名卫衣 潮我好看,504%,1008575.0,4623
4399,这一刻，快速救生圈拯救你的“措手不及”,100%,201978.0,592
4400,匠心之作—大红袍仿古壶,330%,33068.4,174
4401,脑洞大开，掌控时间与充电的桌面神器。,118%,236319.0,5006
4402,猪猪杯医疗级健康加湿 空气回归自然,114%,114219.0,828
4403,斑点猫天猫精灵智能猫眼 人脸识别 远程看护,10359%,10359748.0,15252
4404,软妹必备温暖整冬的棉服 核桃小鸭正版周边,106%,31869.0,10
4405,低噪音，强吸力，可拆卸式迷你手持吸尘器,116%,116881.0,928
4406,宜兴匠心紫砂壶 《柴烧手工供春》茶壶,146%,73386.0,177
4407,伊泉净品智能即热净水器  四档温控,1013%,1013638.0,574
4408,舒福德智能床垫：乐享睡眠，守护健康,688%,688333.0,69
4409,《画江湖之侠岚》官方授权糯言起泡米酒,109%,10920.0,202
4410,小狗当当隐形增高6.5cm手工头层牛皮鞋,449%,224988.0,7111
4411,耐摔、耐磨、耐高温--可折叠硅胶水杯,172%,172845.0,2505
4412,一体内循环无烟电烤炉，一键操作携带方便,102%,102856.0,172
4413,AirPods无线充电保护套,411%,411342.0,4302
4414,《武动乾坤》官方正版授权---天子宝剑,1417%,708674.0,1723
4415,【新品首发】黑科技红钉智能红外遥控手机支架,1064%,1064380.0,17718
4416,桌面星球，让你的想象力漫步星空,349%,349476.0,2787
4417,十秒榨汁 高档电动便携分离式榨汁杯,11902%,595104.0,6056
4418,居家必备 光触媒智能人体感应小夜灯,582%,582978.0,13973
4419,山百集原创：礼遇中国砚,147%,73500.0,115
4420,坤思特宝贝益智模块化拼装童车,176%,88380.0,63
4421,【量子技术植入洁面仪】从未体验过的清爽感,1059%,1059216.0,2664
4422,户外续命神器：便携挂腰风扇，解放双手！,828%,414299.0,6121
4423,小姐姐那些天的福音！石墨烯发热真丝暖宫宝,720%,720425.0,3635
4424,大国重器！5吨设备结束中国无咖啡粉砖时代,206%,103194.0,1904
4425,阿猫阿狗都玩疯了，这骨头竟自己去挑逗宠物,295%,591025.0,6925
4426,ALS蓝牙防水音响灯影音的完美之作,101%,101918.0,172
4427,溯芳斋：非遗大师传承千年建盏,176%,53090.0,123
4428,智能GPS防盗电动滑板车,518%,518113.0,285
4429,【星尘*绝对萌域】正版周边首发有线耳机,141%,141182.0,659
4430,老烟枪低温烤烟电子烟 可兼容IQOS烟弹,2412%,2412524.2,100666
4431,蒲公英车载香薰 室内香氛随身便携式香薰器,490%,490928.3,38942
4432,把森林带回家，每一口呼吸都是新鲜的，智能加湿器,100%,201342.0,1167
4433,【名家】孙林楠真迹荷花、牡丹系列,109%,54620.0,24
4434,徕印Lifeprint照片视频AR打印机,155%,155136.0,132
4435,智能磁悬浮声波电动牙刷——强力去除牙渍,389%,779848.0,5643
4436,杏花楼百年传承 茶满中秋月饼礼盒,670%,67056.0,262
4437,【日式番茄牛肉拉面】豪华食材，一本满足！,328%,32817.0,783
4438,90后紫砂艺人匠心之作纳瓢壶,163%,81990.0,584
4439,【遇·七夕】爱随心动18K金钻石项链,257%,128608.0,66
4440,Bro.D七夕情感定制 贝爱系列珠宝套装,147%,73736.0,22
4441,旅行宝-1壶3杯便携茶具,104%,104570.0,444
4442,让iPad变MacBook的金属蓝牙键盘,146%,146030.0,185
4443,国漫《侠岚 》之辰月官方正版专属定制首饰,594%,29735.1,320
4444,玄铁天剑 陨石铸造 神物镇宅 一把足够,615%,307514.0,177
4445,新一代养生，智能wifi远程操控养生杯。,102%,205532.6,376
4446,智能乳胶枕，释压护颈助眠—还送299元减压助眠课程,451%,903260.0,15046
4447,创新心形电饭煲，让每顿饭更幸福,372%,372776.0,1567
4448,捷仕奇空气净化消毒器,103%,103369.0,239
4449,《武动乾坤》手工雕刻黑檀木梳套装之守护,125%,6292.0,43
4450,高血压患者的福音-专用激光治疗仪,2125%,2125656.0,88545
4451,字在纹身贴——满足你千变万化的小心情,101%,50547.0,1743
4452,【潮流新玩法，骨头听声音】骨传导蓝牙墨镜,104%,209466.0,1292
4453,【超强WiFi覆盖】Mesh智能路由器,103%,206424.0,306
4454,儿童空调座垫 通风舒适 给后背易汗湿的宝宝,673%,403884.0,1188
4455,智能空压车载无线充支架,1167%,1167500.0,6425
4456,【千年传世哥窑】如脂似玉客厅茶具摆件,168%,50418.0,130
4457,4G儿童智能手表——陪伴成长，守护安全,179%,179498.0,451
4458,小猫叮叮限量款，激光脱毛仪,2101%,1050523.0,2846
4459,内联升《养家之人》电影衍生品系列布鞋,109%,21831.0,36
4460,15分钟防颈椎透支！石墨烯发热真丝护颈带,620%,620158.0,4062
4461,【雪媚娘黑皮月饼】臻选海陆食材打造网红月饼,463%,46398.0,865
4462,WINGS矫姿坐垫——包裹型塑形美体,108%,54088.0,86
4463,良工锻炼凡几年，铸得宝剑名龙泉,3772%,1886064.0,10224
4464,儿童窗帘改造计划，空气净化窗帘,627%,627115.5,3372
4465,中华国粹 大师手绘 银银 釉下五彩瓷  醴陵陶瓷,394%,197450.0,2091
4466,手动DIY一款只属于自己的复古蓝牙音响,104%,209068.0,517
4467,追剧/看抖音/刷朋友圈 姿势很重要！,1348%,674388.0,14342
4468,衣橱空气智能净化增香器,127%,127762.0,312
4469,立体雕塑画里的大圣，玄关悟空美猴王,122%,122799.0,101
4470,《武动乾坤》官方正版授权之非遗龙泉青瓷,582%,582640.0,2580
4471,【净齿黑科技】蓝光美白全自动口含牙刷,2899%,2899418.0,94230
4472,淘宝大学头脑风暴大会第二季门票,253%,25344.0,256
4473,《武动乾坤》官方正版授权铸银者匠人手工足银饰品,101%,50820.0,111
4474,【茗匠茶道】赏一轮秋月，品一番禅心,106%,53152.0,113
4475,龙虎刀剑臻品，致敬非遗，十年磨一剑神龙剑,247%,247168.0,566
4476,双人互动K歌黑科技，体验便携蓝牙k歌音箱,432%,432097.4,3327
4477,AI手写体自动识别，会打字的笔记本,2079%,2079626.0,37934
4478,树杈智能大水雾超补水加湿器,106%,106629.0,471
4479,丢掉缝线，来个轻薄小巧又能装的牛皮钱包吧,424%,212062.0,2023
4480,【国工手制】紫砂壶财源广进●珐琅彩紫泥,100%,50080.0,245
4481,数显手压封口机，从未如此轻松,103%,207791.0,1335
4482,星际动力折叠电动车一步折叠，便捷出行。,1059%,1059849.0,351
4483,一种全新的烧烤方式【德国红点奖】悍高无烟烤炉,404%,404834.0,559
4484,网红款水杯 能屈能伸 还能拯救海洋！,3330%,1665160.1,27799
4485,一款打破常规的油壶，重新定义新食代,108%,108916.0,1515
4486,网易云音乐氧气蓝牙耳机Pro版,433%,433193.0,1447
4487,古树普洱茶 古六大茶山合辑 标杆茶品,146%,36744.0,72
4488,《狄仁杰之四大天王》心经笔墨纸砚联名套装,102%,51397.0,207
4489,相约四季，拒绝进衣柜！石墨烯多功能羽绒毯,540%,540855.0,1845
4490,多功能遥控海上水上救生圈,152%,305332.0,168
4491,云硕全自动智能锁一步到位开门即走,751%,751280.0,302
4492,新加坡轻奢品牌| Faire邦德计划皮包,2190%,2190387.0,8663
4493,《三生三世十里桃花》上映一周年蓝光典藏版,260%,130187.0,853
4494,《狄仁杰之四大天王》巫联名款刺绣音乐耳机,122%,12255.0,13
4495,【梵品磁控动感单车】坐着也能运动,551%,1102495.0,505
4496,养一只包  是一种态度 创意特色手拿包,174%,174946.0,604
4497,匠心制作-宜兴全手工朱泥泥绘牡丹西施,331%,33178.6,124
4498,天猫精灵声控美学灯，柔光护眼，缤纷色彩,683%,683088.0,6762
4499,Airwheel爱尔威智能跟随登机行李箱,6835%,6835893.0,7078
4500,榉树智能锁V1 科技让家更安全,957%,4789699.0,178
4501,逸秒智能急速充电器+充电宝，让充电飞起来,110%,220814.0,1873
4502,一款自带动画音效的可拆卸书包,147%,295877.0,450
4503,网易春风魂系自动吸吮震动可拆卸电动飞机杯,601%,601221.0,2949
4504,【胖小软】激萌来袭，创新冰皮水果小团子,219%,21926.18,659
4505,#听见更多细节#，执着多单元定制蓝牙系列,202%,202194.0,5084
4506,蜗牛睡眠音乐双面枕-乐享音乐乐享睡眠,189%,189417.0,1906
4507,【JFT反重力减压气垫书包】为双肩减负,182%,182896.0,1349
4508,高颜值无线桌面充电器，配合香氛更有女神范,101%,50515.0,237
4509,DZAT/渡哲特 「追风」定制级游戏耳机,118%,118211.0,459
4510,【啪嗒筷】自带筷托磁吸式高端木筷,586%,586483.0,6727
4511,《狄仁杰之四大天王》官方授权蚊虫叮咬止痒易,158%,317167.0,1289
4512,洗牙器，牙垢一冲搞定，小狗当当正版授权,2583%,1291648.0,49918
4513,lanwk联名狄仁杰IP原创设计手机壳,176%,17610.0,199
4514,Light!目颈避光枕,101%,50542.0,560
4515,一款可变形多功能使用家居收纳篮,1059%,211970.9,370
4516,匠心手作-宜兴手工原矿紫砂柴烧杯,125%,62984.0,368
4517,台灯新物种 —— LED静木夜读灯,145%,72578.0,284
4518,LEX智能指纹锁X5家用防盗门锁一步开锁,103%,206500.0,187
4519,美牙从小抓起！三面立体儿童刷牙练习神器！,311%,311410.0,947
4520,青瓷泰斗徐朝兴传承千年青瓷文化,157%,47314.0,119
4521,游戏音乐身临其境---音乐谐振按摩靠垫,655%,655804.0,2206
4522,国画大师蔡海军《仁义礼智信》,101%,50939.0,43
4523,《狄仁杰之四大天王》周边衍生品,174%,17468.0,673
4524,一面蜀绣，一面蜀锦，非遗国礼——锦绣屏,407%,407224.0,1042
4525,悦味元木系列多功能竹砧板套刀组合套装,981%,49059.0,121
4526,EasyLive双震恒温弯曲震动棒,182%,182876.0,389
4527,国粹漆饰，传统之美也可以前沿时尚,148%,74174.0,206
4528,飞利浦PHILIPS全自动智能锁9200,8661%,8661725.0,985
4529,智能座充同屏器,111%,111231.0,659
4530,儿童健康智能被，踢被子马上提醒您,1063%,1063738.0,2202
4531,一把无所不能的超级雨伞,126%,63347.0,329
4532,三合一“小钢锤“车卫士-空净 破窗 车充,554%,554886.0,5577
4533,小身材大作用，女神四件套，功能随心变,1002%,1002111.0,12989
4534,儿童智能体感学习机——让孩子爱上学习,730%,730392.0,2814
4535,一款不用洗的杯子，懒癌患者福利杯,202%,202298.0,1903
4536,【9月开学季好礼】万用变形书包 1=4？,349%,349804.0,3949
4537,非遗传承 龙泉手工剑 收藏级大师古法锻造,1055%,527760.0,1334
4538,质保100年的橡木小凳 真情告白陪你长大,429%,429621.0,883
4539,【国工手制】紫砂壶佳品●龙纹周盘,157%,78880.0,136
4540,狄仁杰之四大天王创意金属摆件,101%,50888.0,351
4541,【玻尿酸鸭】潮流新势力-休闲T-SH众筹,117%,11752.0,28
4542,爱园艺电动喷水壶，体验自动浇花的乐趣,1132%,1132641.0,15419
4543,"全脑开发训练pad学习机,孩子私人学管师",1752%,876384.0,1249
4544,当当正版潮男出行装，USB胸包和T恤,2115%,1057513.5,84564
4545,2018新花新茶 栀子花红茶浓郁芬芳,149%,29906.0,325
4546,国工作品--匠心紫砂壶青荷,132%,13238.7,39
4547,JY家庭智能阀门：口袋里的家庭水路管家,107%,53801.0,119
4548,画凳“圈”——可以坐上去的装饰画,122%,122360.0,604
4549,抖音款自拍蓝牙音响饮水杯,302%,302619.0,2351
4550,苍天般的礼物，阿拉善岩画金胎杯,103%,20781.0,116
4551,【Hello素】红烧素肉燥，用科技打造健康膳食,107%,10766.6,312
4552,能净化空气有效去甲醛布偶抱枕，可循环使用,110%,110286.0,934
4553,梦露复古石墨烯钛膜双动圈入耳式耳机,122%,122742.0,608
4554,自助烧烤，你得来份这个,276%,27688.0,59
4555,【听风躺椅】偷得片刻闲,103%,31180.0,124
4556,将西施眼泪精雕细琢，装点文艺茶生活,130%,39101.2,178
4557,小小仙人掌【手摇 可动 趣味音乐盒】,140%,42190.0,130
4558,洗了几十年的澡，你的澡洗干净过吗？,4047%,2023847.5,42825
4559,2018移动5G影院，智能识别正反投,3930%,3930293.0,2007
4560,颜值爆棚 懒人必备的家庭夜灯,1234%,1234770.0,14752
4561,【百变拼装可编程】源木工坊木板拼装无人机,526%,526043.0,3277
4562,随风旋转出香，大风车V6引擎磁吸支架,1040%,1040676.0,14308
4563,硅谷黑科技，开启居家肌肤修护新时代,975%,487921.2,8681
4564,夏日除臭神器【智能鞋子净化器】,510%,1021756.0,5331
4565,【车载超薄无线快充黑科技】更方便 更快捷,309%,618134.0,5253
4566,【随心应变】自由拼接的多功能快充数据线,281%,140582.0,2174
4567,ijoou简艾智能艾灸仪【口袋里的中医调理师】,1529%,3058360.0,12198
4568,【能直接喝冷热饮】快速冷热杯垫 可用易拉罐,581%,581820.0,1890
4569,夏日之战——CRIFUN防晒女包,1028%,1028330.0,3949
4570,【香辣小龙虾月饼】重新定义苏式月饼！,349%,34928.0,311
4571,花开富贵，原创宜兴紫砂壶茶具实用茶壶茶器,104%,52352.0,189
4572,wisoap微鱼超声波离子智能清洗球,1280%,1280160.0,4054
4573,Octoto童趣餐盒 让吃饭成为快乐的事,407%,407209.0,5180
4574,入宅传世豪情书法定制,143%,71876.0,113
4575,PinkPunk一款有秘密的创意插座,301%,602216.0,6194
4576,APP智能密码锁，超长待机，多种解锁方式,124%,62228.0,883
4577,皇室御贡曼松普洱 遇上天窖 让珍稀更珍贵,420%,63080.0,165
4578,【汽车划痕修复机】划痕修复黑科技,262%,262400.0,2050
4579,告别驼背，智能黑科技自动提醒矫正身姿,826%,826638.0,4744
4580,自带充电仓  TWS迷你无线蓝牙耳机,112%,112912.0,608
4581,《海枯石烂》金美澳情侣戒指（七夕前提前几天发货）,111%,55941.0,349
4582,米萌尿尿贴，秒变智能纸尿裤，尿布也可以喔,209%,209414.0,1539
4583,【触摸语音对话机器人】 孩子成长好伙伴,1589%,1589982.0,73380
4584,牛顿人工智能婴儿推车智能刹车多功能婴儿车,485%,485318.0,442
4585,【冷泡茶】30秒冷泡清爽一夏，颠覆夏季喝茶新方式,100%,20166.0,106
4586,【第三代便携富氢杯】改善水质“氢”装上阵,3121%,3121632.0,10285
4587,宜兴纯手工紫砂壶【芳华西施】●传承非遗,402%,80595.0,405
4588,【无焦油免充电】替烟解瘾雾化电子烟,1007%,1007138.0,15736
4589,【新型烘烤吸烟器】加热不燃烧，健康替烟,789%,789605.0,1977
4590,茶台上的一道风景，新月上水器,131%,131126.0,244
4591,【纳米小立方】贯穿工作娱乐生活的小伙伴,115%,57701.0,519
4592,E男E女防红外线防蓝光防反光高清眼镜,619%,1239485.0,26616
4593,【总统收藏】78岁国画大师叶培荣真迹书法,3251%,162570.0,232
4594,盗墓笔记话剧杭州站，绝美舞台等你开启,249%,49878.0,114
4595,爆料！谢娜私下最爱的网红黑豆干每口都爆黑料,108%,10845.5,307
4596,玲珑灸套装礼盒-无烟艾灸玲珑雕刻,179%,179856.0,462
4597,老锅老汤老味道-那记猪手卤猪蹄,290%,29000.4,257
4598,【法皮台式】大师级中西融合，Q弹酥香浓回味雪媚娘,271%,27105.0,227
4599,清之坊岩烤黄金甲猪肉脯,400%,40054.8,634
4600,【创新挂耳茶】原叶茶和德国进口花果茶拼配,304%,30476.8,1066
4601,四大美人 中国风手工奶茶多口味礼盒,236%,23620.8,592
4602,威海石岛杏鲍菇蛤蜊肉下饭海鲜,266%,26630.4,558
4603,【五谷凤梨酥】舌尖3糕点大师创新之作,477%,47778.0,725
4604,800年传承青梅米酒  酸爽的碱性酒,457%,45797.0,393
4605,《神犬小七第三季》授权--智能运动手环,381%,38185.0,211
4606,智能早教机器人—贴心陪护小书童,506%,506240.0,1015
4607,-18℃餐桌上的冰河能量碗,717%,358968.0,3701
4608,一款具有国家技术的易洁抗菌餐具,401%,401089.0,2991
4609,超薄卡片式无线快充防水防尘低温不伤机,113%,113854.0,1360
4610,面对持刀袭击，教你安全防刀，制服持刀歹徒,224%,112322.0,808
4611,全民声卡调音台，下一个抖音歌手网红就是你,113%,56695.0,283
4612,小狗当当乐乐熊智能机器人，神器小伙伴,161%,80520.0,135
4613,可移动的微型书房，非遗“聚”匠，至简文盒,300%,300104.0,2690
4614,咖啡黑科技，我不是速溶，我不含添加剂！,3181%,318108.0,3246
4615,红点奖获奖品牌新作——小不多C2砧板菜板,134%,134052.0,364
4616,小狗当当周边，能充电的轻薄手机壳,103%,51512.0,814
4617,【除醛去味净化专家】主动捕捉，生物降解,1431%,1431165.0,14275
4618,旅途最屌睡姿，把脑袋扎进马桶盖里？,1822%,1822511.0,30299
4619,小猫叮叮周边，慢动作画框装置Ⅱ,211%,105853.0,303
4620,MOKKOM多功能电动削皮器,541%,541620.0,5415
4621,第二代太阳能360°自动旋转衣架,612%,612468.0,7959
4622,好兄弟口袋红酒-旅行迷你红酒,910%,455116.0,3989
4623,青龙洲 金甲天下 冰碛岩精工茶壶,212%,106068.0,843
4624,多功能USB-C扩展坞7.5W无线充电器,206%,206462.0,386
4625,【浪漫七夕，浓情火焰】如意引火棒——中国人的打火机,1022%,511132.0,1070
4626,【茵秀丽】新品首发妈咪包防水多功能大容量,103%,206105.0,288
4627,秉承传统工艺 匠心手作——光明建盏,112%,33666.0,174
4628,如意金箍棒电子烟，与大圣的缘分只此一次,120%,60346.0,202
4629,爱华普沐浴精灵，从此告别沐浴露,225%,225706.0,1051
4630,大师手作莲花生大士佛像摆件,768%,768782.0,2679
4631,多功能自发电的门铃，可以自己发电哦,257%,257909.0,1841
4632,【7天祛除牙渍】强力清洁磁悬浮超声波电动牙刷,2395%,1197553.0,32017
4633,便携式X能量呼吸器,993%,993468.0,17783
4634,以态度致敬精品 众筹2018年梅江小青柑,551%,275757.0,807
4635,秒速全方位精准测距仪，智能改变生活,106%,212177.0,1407
4636,【泳姿识别，游泳计圈】SENWEAR运动智能手表,111%,111179.0,207
4637,积木多点储物微电车大寸轮胎全方位减震折叠电动车,2534%,2534459.0,1310
4638,茶出健康，醋享人生——氼康普洱茶醋,4047%,2023526.0,36389
4639,护肤魔法棒/竟然暗藏撩妹玄机~了解一下？,3560%,1780128.0,17342
4640,放松，只要15分钟。石墨烯发热真丝眼罩,801%,801185.0,246753
4641,阿里云小魔头云储存摄像机监控,153%,153330.0,570
4642,微型即时杀菌器——你与家人的健康小卫士,119%,119124.0,876
4643,原生态空气净化器，桌面盆栽尽享自然之美,100%,201402.0,359
4644,《秦时明月》道家晓梦秋骊剑，龙泉宝剑,1470%,294000.0,588
4645,小僵尸系列牛奶骨瓷杯,285%,42751.0,589
4646,喜游智能灯控自动感光折叠便携电动车,608%,1216836.0,22364
4647,秒速加热饮水机，热得快喝热水无需等待,108%,216990.0,310
4648,一款自带正能量的灯，天然负离子超强净化灯,104%,208442.0,663
4649,艾诗摩尔5档智能控温轻巧便携电热水壶,197%,395955.0,1113
4650,衣架中的变形金刚 车载/差旅 一件多用,964%,482280.0,5860
4651,《动物世界》官方授权卡牌游戏,1443%,144360.0,1700
4652,运动吧，少年！多功能拉力绳 让健身不受限,148%,74351.1,2389
4653,设计师品牌“天开谷雨”，轻薄无胶防晒竹柄,383%,191820.0,1970
4654,漂亮的实力派 多功能料理锅,2122%,2122914.0,3486
4655,寻晷者II|极 中式美学石英腕表,331%,331329.0,1895
4656,反引力时光沙漏空气净化器,2062%,2062395.0,1625
4657,电视剧《流星花园》正版周边产品,123%,61831.8,5109
4658,【国工手制】紫砂壶收藏佳品●老树灵芝西施壶,123%,61780.0,106
4659,5秒碎冰 能打水泥的微型极限榨汁机,4007%,2003740.2,74067
4660,龙虎刀剑——传世经典收藏,322%,322760.0,562
4661,匠心制作-宜兴全手工朱泥美人西施,556%,55641.5,273
4662,【极简长续航】SPOVAN轻智能美学手表,1138%,1138697.0,7488
4663,品质男士背提包，可以和千元包比拼的双肩包,105%,105556.0,342
4664,20米信号 100小时续航TWS蓝牙耳机,340%,340464.0,736
4665,小DO云脑智能机器人2代,421%,421334.0,11097
4666,羌族文化工艺产品，传承羌族文化精粹,257%,515532.0,16411
4667,【动物世界】同款背包,102%,41039.0,164
4668,龙泉帝王天子宝剑--王者归来,335%,335764.0,653
4669,可可西里全自动智能锁指纹锁 自动开锁上锁,197%,197840.0,196
4670,【杭州西湖龙井茶叶有限公司】 西湖龙井,370%,37037.0,324
4671,【川卤麻辣猪尾】尽享Q弹四川麻辣卤味,186%,93246.2,3259
4672,顾月英家藏原矿清水泥作品：牛盖石瓢,136%,68319.0,181
4673,国工作品--匠心紫砂壶瑶池彩贝,226%,22676.7,77
4674,Kylin M 可变形手柄的手持三轴稳定器微单云台,701%,701649.0,351
4675,让你素颜更美的美面仪，1次体验，5种收效,2575%,5150612.0,4897
4676,带炫酷彩灯的智能体感电动滑板车,161%,322434.0,362
4677,【0.5秒即可一手解开所有】AI智能指纹锁,426%,213388.7,3466
4678,一贴即用 轻松缓解颈肩疲劳的智能无线颈康仪,5671%,5671266.0,112828
4679,苗乡野生中草药调理，温经散寒，贴出好孕,103%,103778.0,766
4680,一秒即燃炫酷双电狐触摸感应打火机,116%,233547.0,2153
4681,可逆转送风的DC对流循环风扇,113%,226278.0,142
4682,用科技成就一双时尚舒适女王鞋,103%,103886.3,275
4683,电动拖把 护腰护手！减轻家务负担,6005%,3002646.0,51614
4684,高颜值多功能手持真空机，一键保鲜生活,110%,221344.0,806
4685,国母收藏，国画大师李奕影手绘真迹牡丹系列,111%,55956.0,25
4686,北裔堂出品《动物世界》李易峰正版周边手办,2687%,268712.0,928
4687,小乐Ai智能机器人 给孩子最好的陪伴,935%,935310.0,5220
4688,阿赐酱微辣腊肠传承200年配方少盐无添加,182%,18294.3,206
4689,雅迪E7Li众筹,711%,3556967.0,2479
4690,静书多功能高效本——一本在手，体面又高效,2192%,1096090.0,63959
4691,可拆卸式四色充电宝  前所未有的便利,130%,130647.0,1149
4692,【永不凋谢的青花】手绘青花瓷创意养生茶具,156%,46990.0,1841
4693,【新品首发】桌面便携式无线快速充电架,1013%,1013328.0,7216
4694,魔法棒指挥的【神奇动物园】，会变色懂音乐,293%,293057.0,955
4695,一杯【独耀】绽放自我；独家首发创新红乌龙,142%,42608.0,236
4696,文化传承独家设计，宜兴紫砂壶四大神兽首发,188%,94214.0,93
4697,超长待机，自动报警，智能指纹/密码锁,804%,1608270.0,18880
4698,“土”里长出魔法鱼，让孩子边玩边长知识,2253%,4506448.0,49082
4699,源自日本工艺诞生石幸运守护万花筒,512%,1025712.0,22297
4700,减少宝宝过敏，妈妈喂奶不疼的母乳益生菌,6019%,3009550.0,9906
4701,尊贵典雅檀木生肖银牙签--您专属的牙签！,326%,163356.0,1122
4702,《一千零一夜》古玛为您带来美梦连篇,407%,407149.0,1497
4703,【便携腊味八宝饭】再忙也要吃好一点,153%,15333.6,473
4704,一带一路正行收藏限量版普洱茶，书写盛世蓝图,179%,89815.0,575
4705,为妳精心打造的手作木质钱包,103%,51874.0,59
4706,反面 一款可快速修复的数据线 无限次循环使用,1179%,1179514.0,29050
4707,【高浓度原蜜】深山树洞野生土蜂蜜！罕见好蜜！,696%,139270.4,1193
4708,2018新花新茶 茉莉花红茶浓郁芬芳,159%,31925.0,317
4709,邂逅最美的手作，让您的家居更文艺,240%,24036.0,51
4710,【三合一智能化妆镜】美瞳补光，充电宝，五倍放大！,138%,138982.0,1331
4711,口袋里的电影院-自带360°可旋转支架,120%,120990.0,75
4712,放学回家亲自动手DIY的玩具套装,1566%,156658.0,1489
4713,朱熙华 年度巨作【古生物之剑齿虎大铜章】,116%,58404.0,158
4714,11项专利居家小工具 极速封口 多种惊喜用途,1284%,1284175.2,30120
4715,全面升级超声波电动牙刷，拒绝黄牙跟口气,176%,352637.5,2074
4716,【800W高清摄录】搜米儿童数码单反相机,1065%,1065384.0,7742
4717,负离子声波按摩-洗澡刷【让肌肤延缓衰老】,6058%,3029127.0,56183
4718,国画大师程联---手绘真迹系列,131%,65637.0,63
4719,多功能车载香薰临时停车牌，旋转隐藏防骚扰,149%,298116.0,1057
4720,便携式夏日神器——快速制冷，持续补水,140%,281878.0,1109
4721,匠心之作—大红袍仿古壶,202%,20259.0,81
4722,cool umbrella绅士文明权杖,232%,116036.0,384
4723,【致敬大圣】千锤百炼烈火铸造如意金箍棒,347%,173659.0,187
4724,来秀LSHOW超声波脉动铲皮美容仪,249%,249053.0,1778
4725,思乡壶 原创中式山水壶 一石一世界,121%,60618.0,136
4726,不受空间限制，抛开容量，急速洗净食材净化器,340%,681369.0,174
4727,潮宏基丨侏罗纪独家限量版原创纪念项链,109%,164220.0,25
4728,【发财喵车载手机重力支架】为你招财纳福,4100%,4100838.0,109030
4729,官作【山系列】全铜臻品 艺术摆件,145%,72588.0,157
4730,会记忆亮度触控调光灯充电座,104%,104402.0,1992
4731,【做我的猫】高端巧克力礼盒,155%,15598.0,133
4732,【一纸传情】情人节高档礼盒,122%,12228.0,114
4733,吉善缘 心血巨作 全铜《斗战胜佛系列》,1281%,256318.0,204
4734,小鸡球球周边，头层牛皮轻薄多功能钱包Ⅱ,196%,98035.0,833
4735,手工实木音响 给你70年代的感觉,378%,189074.0,965
4736,QUANTZ量子狗足球特别款,359%,179686.0,3034
4737,一把小巧精致而凶猛的碳纤维小刀,132%,66438.0,632
4738,雨林古树茶 2018卧虎 古树普洱茶熟饼,188%,660348.0,517
4739,黑科技免捡羽毛球拍-让我弯腰捡球那是不存在的！！,114%,114842.0,645
4740,魔力小板凳，小朋友都爱拆了它,110%,55067.0,155
4741,“玩”出好视力——多维视觉人工智能教练,107%,214674.0,82
4742,【黑科技小核蛋】PBS纯净风多功能净化盒,167%,167421.0,2202
4743,除味抑菌宝  新一代家居健康卫士,204%,204228.0,1092
4744,【自然一张】来自济州岛的自然湿纸巾,161%,80810.0,2081
4745,移康智能猫眼天猫精灵官方定制,6010%,6010540.0,12559
4746,一盏灯 一场世外人生,440%,132000.0,40
4747,【超能萌鹤】x【全球第一款变色纳米帖】,1032%,516092.9,18641
4748,抖猫无线音箱/跟着音乐抖个舞,463%,463792.0,5385
4749,Leanne Claxton时尚艺术丝巾,202%,101471.0,307
4750,狗狗的世界有点小，装下一个你刚刚好！,133%,66598.0,112
4751,这套文房摆件有点牛，朱敬一都爱不释手！,312%,312826.0,447
4752,【买1送2】黑砂茶具 传世孤品 最后的千年绝唱,271%,135926.0,207
4753,小狗当当周边，激光脱毛仪,4257%,2128934.0,4274
4754,衡水内画——寸幅之地具千里之势,448%,448686.0,1990
4755,AI美脸，简单到只需动动口就能美容的神器,5016%,10032151.0,26424
4756,单身小狗当当周边，限量珍藏版头层牛皮钱包,3276%,1638016.0,19352
4757,【橙风】夹在太阳伞上的空间旋转小风扇,714%,357212.0,7862
4758,【瓷都景德镇】第三代陶瓷瓶身健康奶瓶,494%,247012.0,2034
4759,手工静音感光智能LED挂钟,114%,91674.0,179
4760,玄吾纪-可以看裸眼3D视频玩全息游戏的娱乐设备,509%,509714.0,2546
4761,“放风鸟”开创更“家”的城市生活,127%,63638.0,267
4762,《莽荒纪》电视剧正版授权黄铜笔,224%,11248.0,32
4763,匠心制作-宜兴全手工刻绘子冶石瓢,341%,34116.7,140
4764,【不但凉爽还要清新？】桌面风扇净化器,108%,217891.0,4782
4765,《超人总动员2》正版周边发声小杰娃娃,165%,33115.0,185
4766,可以拍照的神奇牙刷，健康可视，从齿开始,172%,172887.0,2328
4767,国大师郭家兴携手《莽荒纪》锻造龙泉手工剑,850%,425194.0,373
4768,【智能规划导航】GE扫地机器人强势黑科技,297%,594108.0,386
4769,智能wifi空气炸锅-远离油脂健康生活,1077%,1077196.0,2702
4770,颈椎理疗新体验-你的专属按摩师,519%,519285.0,1205
4771,围观神垕钧窑瓷二代“斗瓷”,146%,73012.0,209
4772,宜兴手工原创紫砂壶茶具茶器高温柴烧壶,239%,119808.0,416
4773,《超人总动员2》正版玩具弹力女超人摩托车,119%,23810.0,54
